medicine_id,medicine_name,category,hospital_id,total_stock,issued_stock,expiry_date
MED005,Heparin,Critical Care,H05,2174,1542,2025-09-11
MED006,Amoxicillin,Antibiotic,H05,5102,4815,2026-03-03
MED007,Salbutamol,Respiratory,H05,1953,1610,2025-11-09
MED008,Metformin,Diabetes,H05,2429,2347,2026-05-17
MED009,Aspirin,Painkiller,H05,5873,4889,2025-10-12
MED010,Atorvastatin,Cardiac,H05,646,542,2026-02-21
MED001,Paracetamol,Painkiller,H06,764,554,2025-10-21
MED002,Insulin,Diabetes,H06,1760,1335,2026-04-29
MED003,Ceftriaxone,Antibiotic,H06,2467,1915,2026-01-14
MED004,Morphine,Critical Care,H06,4605,3884,2025-08-15
MED005,Heparin,Critical Care,H06,3084,2803,2026-01-19
MED006,Amoxicillin,Antibiotic,H06,3217,2910,2026-06-02
MED007,Salbutamol,Respiratory,H06,5824,4228,2025-10-14
MED008,Metformin,Diabetes,H06,846,808,2026-05-30
MED009,Aspirin,Painkiller,H06,2693,2480,2026-04-30
MED010,Atorvastatin,Cardiac,H06,3470,3186,2026-02-26
MED001,Paracetamol,Painkiller,H07,3944,3350,2025-12-27
MED002,Insulin,Diabetes,H07,467,401,2025-08-31
MED003,Ceftriaxone,Antibiotic,H07,580,432,2026-02-05
MED004,Morphine,Critical Care,H07,3441,3076,2026-01-21
MED005,Heparin,Critical Care,H07,3022,2539,2026-02-12
MED006,Amoxicillin,Antibiotic,H07,1340,1013,2025-10-04
MED007,Salbutamol,Respiratory,H07,2377,1973,2026-04-02
MED008,Metformin,Diabetes,H07,2563,2009,2026-05-15
MED009,Aspirin,Painkiller,H07,3571,3259,2025-08-20
MED010,Atorvastatin,Cardiac,H07,1016,875,2025-09-02
MED001,Paracetamol,Painkiller,H08,2687,2082,2025-10-09
MED002,Insulin,Diabetes,H08,4420,4073,2025-10-08
MED003,Ceftriaxone,Antibiotic,H08,3948,3051,2026-03-20
MED004,Morphine,Critical Care,H08,4738,4220,2026-03-17
MED005,Heparin,Critical Care,H08,4685,4586,2025-11-12
MED006,Amoxicillin,Antibiotic,H08,1486,1453,2026-06-14
MED007,Salbutamol,Respiratory,H08,4448,3970,2026-06-04
MED008,Metformin,Diabetes,H08,2907,2426,2026-06-01
MED009,Aspirin,Painkiller,H08,4411,3922,2026-01-25
MED010,Atorvastatin,Cardiac,H08,2392,1926,2025-08-19
MED001,Paracetamol,Painkiller,H09,5414,4054,2025-09-09
MED002,Insulin,Diabetes,H09,3359,3325,2026-06-14
MED003,Ceftriaxone,Antibiotic,H09,2321,2269,2025-11-12
MED004,Morphine,Critical Care,H09,4713,3928,2026-01-16
MED005,Heparin,Critical Care,H09,4912,4703,2026-05-19
MED006,Amoxicillin,Antibiotic,H09,3508,2479,2025-11-06
MED007,Salbutamol,Respiratory,H09,2445,1910,2025-10-30
MED008,Metformin,Diabetes,H09,4910,4544,2026-02-17
MED009,Aspirin,Painkiller,H09,3227,2328,2025-08-02
MED010,Atorvastatin,Cardiac,H09,3107,2888,2025-08-03
MED001,Paracetamol,Painkiller,H10,3688,3642,2026-03-18
MED002,Insulin,Diabetes,H10,3826,3108,2026-02-16
MED003,Ceftriaxone,Antibiotic,H10,2963,2712,2025-12-22
MED004,Morphine,Critical Care,H10,356,290,2026-06-06
MED005,Heparin,Critical Care,H10,5238,4070,2026-03-14
MED006,Amoxicillin,Antibiotic,H10,1300,985,2025-10-17
MED007,Salbutamol,Respiratory,H10,1012,761,2026-03-27
MED008,Metformin,Diabetes,H10,699,674,2026-01-05
MED009,Aspirin,Painkiller,H10,2481,2083,2025-10-18
MED010,Atorvastatin,Cardiac,H10,4794,3824,2026-04-23
